SurveyID,Age,Gender,Country,state,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,comments
19,46,male,United States,MD,Yes,Yes,No,Sometimes,2699,Yes,Yes,Yes,Not sure,Yes,Don't know,NA
20,36,Male,France,,Yes,Yes,No,,1680,Yes,Yes,No,No,Yes,No,NA
21,29,Male,United States,NY,No,Yes,Yes,Sometimes,3717,No,Yes,Yes,Yes,No,No,NA
22,31,male,United States,NC,Yes,No,No,Never,2829,Yes,Yes,No,No,No,No,NA
23,45,Male,United States,MA,No,No,Yes,Often,1416,Yes,Yes,Yes,Yes,No,No,NA
24,41,Male,United States,IA,No,No,Yes,Never,3367,No,No,Don't know,No,No,Don't know,NA
25,33,male,United States,CA,No,Yes,Yes,Rarely,50000,No,Yes,Yes,Not sure,Don't know,Yes,Relatively new job. Ask again later
26,35,male,United States,TN,No,Yes,Yes,Sometimes,4865,No,No,Yes,Yes,No,Don't know,Sometimes I think  about using drugs for my mental health issues. If i use drugs I feel better
27,33,male,United States,TN,No,No,No,,4463,No,Yes,Don't know,Not sure,No,Don't know,NA
28,35,Female,United States,CA,No,Yes,Yes,Rarely,2381,Yes,Yes,Yes,Yes,Don't know,Don't know,NA
29,34,male,United States,OH,No,No,Yes,Sometimes,4199,Yes,Yes,Don't know,Not sure,No,Don't know,NA
30,37,Male,United Kingdom,,No,No,No,Sometimes,4773,No,Yes,No,No,No,No,NA
31,32,Male,United Kingdom,,No,No,No,Never,638,Yes,Yes,No,No,No,No,NA
32,31,Male,United States,PA,Yes,Yes,No,Rarely,1755,Yes,Yes,No,Yes,No,No,NA
33,30,male,United Kingdom,,No,Yes,Yes,Sometimes,2154,Yes,Yes,Don't know,No,No,No,NA
34,42,Male,United States,WA,No,Yes,Yes,Sometimes,3422,Yes,Yes,Yes,Yes,Yes,Yes,I selected my current employer based on its policies about self care and the quality of their overall health and wellness benefits. I still have residual caution from previous employers who ranged from ambivalent to indifferent to actively hostile regarding mental health concerns.
35,40,female,United States,WI,No,No,Yes,Sometimes,3214,No,Yes,Yes,Yes,No,No,NA
36,27,Male,United States,NY,No,No,Yes,Rarely,518,No,Yes,No,Yes,No,No,NA
37,29,Male,Canada,,No,No,No,Rarely,4558,No,Yes,No,No,No,No,NA
38,,Male,Portugal,,No,No,No,,2616,No,Yes,No,Yes,No,No,NA
39,50,M,United States,IN,No,No,No,,2188,No,Yes,Yes,Yes,No,Don't know,NA
40,35,M,United States,TX,No,No,Yes,Rarely,4135,Yes,Yes,Yes,Yes,No,Yes,NA
41,24,Male,United Kingdom,,No,No,Yes,Sometimes,2832,No,Yes,No,No,No,No,NA
42,35,Male,United States,MI,No,No,No,,265,Yes,Yes,Yes,Not sure,Don't know,Yes,NA
43,27,Male,Canada,,No,Yes,Yes,Sometimes,3819,No,Yes,No,Yes,No,No,NA
44,18,Male,Netherlands,,No,No,No,Often,3592,No,Yes,No,Not sure,No,No,NA
45,30,Male,United States,IN,No,No,Yes,Sometimes,546,No,Yes,Don't know,No,No,No,NA
46,38,Female,United States,TX,No,Yes,Yes,Sometimes,555,No,Yes,Yes,Yes,No,Yes,Our health plan has covered my psychotherapy and my antidepressant medication. My manager has been aware but discreet throughout. I did get negative reviews when my depression was trashing my delivery but y'know I wasn't delivering.
47,228,Male,United Kingdom,,No,No,No,,4671,No,Yes,Don't know,Not sure,No,No,NA
48,34,Male,United States,TN,No,No,No,,2291,No,Yes,No,No,No,No,NA
49,26,m,Canada,,Yes,No,No,Sometimes,2772,No,Yes,No,Yes,Yes,No,NA
50,30,male,United States,IL,No,Yes,Yes,Rarely,2012,No,Yes,Yes,No,No,Don't know,I just started a new job last week hence a lot of don't know's
51,22,M,United States,TX,No,Yes,Yes,Often,2611,No,Yes,No,Yes,No,No,NA
52,33,Male,United States,UT,No,No,No,,815,Yes,Yes,Don't know,Not sure,Don't know,Don't know,NA
53,32,Male,United States,TN,No,No,No,Never,1505,Yes,Yes,Don't know,Not sure,No,No,NA
54,28,M,Switzerland,,No,No,No,,2119,No,Yes,No,No,No,No,NA
55,27,Male-ish,United States,NY,No,Yes,Yes,Rarely,4933,No,Yes,Yes,Yes,No,No,NA
56,32,maile,United States,TN,No,Yes,No,,609,Yes,Yes,Don't know,No,No,No,NA
57,24,Male,United States,NY,No,Yes,Yes,Sometimes,2441,Yes,Yes,Don't know,No,No,No,NA
58,26,Male,United States,TN,No,No,No,,4578,No,No,No,No,No,No,NA
59,33,male,Canada,,No,Yes,Yes,Often,3580,Yes,Yes,Don't know,No,No,No,In addition to my own mental health issues I've known several coworkers that may be suffering and I don't know how to tell them I empathize and that I want to help.
60,44,Male,United States,IA,No,Yes,Yes,Sometimes,1068,No,No,Yes,No,No,Don't know,NA
61,,Female,Poland,,No,No,Yes,Sometimes,2658,Yes,Yes,Don't know,Not sure,Yes,Yes,NA
62,27,Male,United Kingdom,,No,No,No,Never,1090,No,Yes,Yes,Not sure,No,Yes,NA
63,26,Male,France,,No,No,No,,1049,No,Yes,No,No,No,No,NA
64,35,male,Canada,,No,No,No,Sometimes,4803,No,Yes,Don't know,No,No,No,NA
65,35,Male,United States,CA,No,Yes,No,Sometimes,3980,Yes,Yes,Yes,Yes,Yes,Yes,NA
66,23,Female,Australia,,No,Yes,Yes,Often,3117,Yes,Yes,No,Not sure,No,No,Thanks for doing this research.
67,36,M,United States,TX,No,No,No,Sometimes,2113,Yes,Yes,Yes,No,Don't know,Yes,NA
68,31,Female,United States,NM,No,No,No,,1248,Yes,No,Don't know,No,Don't know,Don't know,NA
69,34,Male,United States,NY,Yes,No,No,Rarely,4079,Yes,Yes,No,No,No,No,NA
70,28,m,France,,No,No,No,Never,3033,No,Yes,No,No,No,No,NA
71,34,male,Canada,,No,No,No,Never,2063,No,Yes,Don't know,Not sure,Don't know,Don't know,NA
72,23,Trans-female,United States,MA,No,No,No,Rarely,1627,No,Yes,Yes,Yes,No,No,NA
73,38,Male,United Kingdom,,No,No,No,,1807,No,Yes,No,No,No,Don't know,NA
74,33,Male,United States,CA,No,No,No,Never,1320,No,Yes,Don't know,Not sure,Yes,Don't know,NA
75,19,Male,United Kingdom,,No,No,No,,2802,No,Yes,No,Yes,No,No,NA
76,25,Male,United States,WA,No,No,No,,1758,Yes,Yes,Yes,Yes,Yes,Yes,NA
77,31,Male,United States,WA,Yes,Yes,No,Sometimes,1066,Yes,Yes,No,No,No,No,NA
78,26,Male,United States,UT,No,Yes,Yes,Sometimes,502,Yes,Yes,No,No,No,No,NA
79,28,m,Germany,,No,No,No,Never,1910,Yes,Yes,Don't know,No,Don't know,Don't know,NA
80,38,Male,United States,NY,No,Yes,No,Sometimes,2490,Yes,Yes,Yes,Yes,No,Yes,NA
81,23,Male,United Kingdom,,No,No,No,Never,931,No,Yes,Yes,Not sure,Yes,Don't know,NA
82,30,male,Canada,,No,No,No,Never,1935,No,No,No,No,No,No,NA
83,27,Cis Female,United States,NY,Yes,No,Yes,Often,3055,Yes,Yes,Yes,Yes,Yes,Yes,NA
84,33,Male,United States,CA,No,Yes,No,Never,274,No,Yes,No,No,No,No,NA
85,31,Male,United States,TX,No,No,No,,3245,No,Yes,Don't know,Not sure,No,No,NA
86,39,Male,United Kingdom,,Yes,No,Yes,Often,2875,No,Yes,No,No,No,No,NA
87,34,female,United States,OR,No,Yes,Yes,Rarely,3566,Yes,Yes,Yes,Not sure,No,Don't know,NA
88,29,F,United States,FL,No,No,Yes,Sometimes,722,No,Yes,Yes,Yes,No,No,NA
89,32,M,United States,IL,No,No,No,,1121,No,Yes,Don't know,No,No,Don't know,NA
90,31,Male,United States,NY,No,No,No,Never,1733,No,Yes,Yes,Yes,Yes,Yes,NA
91,40,male,United States,TX,No,No,Yes,Sometimes,603,No,Yes,No,Yes,No,No,NA
92,34,Male,United States,OH,No,No,No,,2882,No,Yes,Don't know,No,No,No,NA
93,,something kinda male?,Russia,,No,No,No,,4631,Yes,Yes,Yes,Yes,No,No,In Russia we have mandatory medical insurance. Every employer must pay 3.6% of every employee's salary to the insurance fund like a tax. Everyone gets free healthcare at public clinics and hospitals. Some types of healthcare including mental health are still funded from the government budget but that doesn't matter it's still FREE!However this is Russia :D I don't know much about what actually happens in mental hospitals here except that a lot of young people with male in their passports use these to avoid military draft and doctors seem to help them.
94,25,F,Canada,,No,No,Yes,Sometimes,3746,No,Yes,Yes,Yes,No,Don't know,NA
95,29,male,United States,MN,No,No,No,Never,1875,No,Yes,Don't know,No,No,Don't know,NA
96,24,Male,United States,MO,No,Yes,No,Rarely,2574,No,Yes,Don't know,Not sure,No,Don't know,NA
97,31,male,Mexico,,No,Yes,Yes,Sometimes,821,No,Yes,Don't know,No,No,No,NA
98,33,Cis Male,United States,AZ,No,No,Yes,Sometimes,1046,No,Yes,No,Yes,No,No,NA
99,30,M,United States,IN,No,No,Yes,Often,1792,No,Yes,No,Yes,No,No,NA
100,26,female,Canada,,No,Yes,Yes,Sometimes,4483,No,No,No,Yes,No,No,In my previous workplace which had mental health protections policies and access to counsellors my Director went so far as to say to me in somewhat casual conversation A woman was murdered across the street. At best though she was bipolar and at worst - who knowsI have bipolar disorder. I have zero faith that an organization with policies in place could appropriately handle mental health. I have even less faith that a workplace without the policies in place could appropriately handle mental health. I can only imagine it's worse in full tech environments.
101,44,Female,United States,MA,No,No,No,Never,1895,No,Yes,Yes,Not sure,Don't know,Don't know,NA
102,25,Male,United States,NY,No,Yes,No,,203,No,Yes,Don't know,No,Don't know,Don't know,NA
103,33,Male,United States,WI,No,Yes,Yes,Sometimes,3198,Yes,Yes,Yes,Yes,Yes,Yes,NA
104,29,Male,United States,NY,No,No,No,Never,2816,No,Yes,Yes,Not sure,Yes,Don't know,NA
105,35,Male,United States,MO,No,Yes,No,Rarely,3605,No,Yes,Yes,Not sure,No,No,NA
106,35,M,United States,OR,No,Yes,Yes,Sometimes,1685,Yes,Yes,Don't know,Not sure,No,No,I've seen negative consequences towards mental health conditions in previous workplaces.Working remote is empowering in this way.
107,,Male,Brazil,,No,Yes,Yes,Rarely,4978,No,Yes,No,No,No,No,NA
108,34,m,United States,TN,No,Yes,No,Never,2164,Yes,Yes,Yes,No,No,No,NA
109,32,Male,United States,WA,No,No,Yes,Sometimes,1050,No,Yes,Yes,No,Yes,Yes,NA
110,22,Male,United States,NY,No,No,Yes,Sometimes,876,No,Yes,Yes,Yes,No,Don't know,NA
111,28,Male,United States,CA,No,No,Yes,Sometimes,1679,No,Yes,Yes,Yes,Yes,Yes,NA
112,45,male,United States,MO,No,Yes,Yes,Rarely,977,Yes,Yes,Yes,Yes,No,Yes,NA
113,32,Male,United States,NY,No,No,No,Never,4016,No,Yes,Yes,Yes,No,Don't know,NA
114,28,male,United States,TX,No,No,No,,981,No,Yes,Don't know,No,No,Don't know,NA
115,,Male,United Kingdom,,No,No,No,Never,3359,No,Yes,Don't know,No,No,Don't know,NA
116,21,Male,United Kingdom,,Yes,No,No,Often,4551,Yes,No,No,Yes,No,No,NA
117,27,Male,Canada,,No,No,No,Rarely,2379,No,No,Yes,Yes,Yes,Yes,NA
118,18,Male,United States,CT,No,No,Yes,Rarely,3380,Yes,Yes,No,No,No,No,NA
119,35,Male,United States,CO,No,No,No,,1844,Yes,Yes,Don't know,Not sure,No,Don't know,NA
120,29,Male,United States,GA,No,No,No,Never,1795,No,Yes,Yes,Yes,No,Yes,NA
121,25,Male,United States,DC,No,No,No,,3390,Yes,Yes,Don't know,No,No,No,NA
122,33,Male,United States,MN,No,Yes,Yes,Sometimes,1335,Yes,Yes,Don't know,No,Don't know,Don't know,NA
123,36,Male,United States,WA,No,No,No,Often,2501,No,Yes,Yes,No,No,No,NA
124,27,Male,Canada,,No,No,Yes,Never,3771,No,No,Yes,Not sure,No,No,NA
125,27,Male,United States,WA,No,Yes,No,Never,3517,No,Yes,Yes,No,Yes,Yes,NA
126,27,Male,United Kingdom,,No,No,No,,251,No,Yes,No,No,No,No,NA
127,29,M,United States,OR,No,No,Yes,Rarely,1274,No,Yes,Yes,Yes,No,Yes,NA
128,31,Male,United Kingdom,,No,Yes,No,Sometimes,4231,No,Yes,No,No,No,No,NA
129,19,male,Slovenia,,No,No,Yes,Sometimes,2862,No,Yes,Don't know,No,No,No,NA
130,33,Male,United States,IL,No,Yes,Yes,Sometimes,3022,No,Yes,Yes,Yes,No,No,NA
131,32,male,United States,CA,No,No,No,Rarely,2612,Yes,Yes,No,Yes,No,No,NA
132,27,Male,United States,NE,No,No,No,Never,1291,No,Yes,Don't know,Not sure,Don't know,Don't know,NA
133,38,Male,Costa Rica,,No,No,No,,377,Yes,Yes,No,Yes,No,No,NA
134,24,Male,Canada,,No,No,Yes,Never,4131,No,Yes,Don't know,No,No,No,NA
135,,M,United Kingdom,,No,No,No,Never,4432,No,No,No,No,No,No,NA
136,28,Male,United Kingdom,,No,No,No,Never,2321,No,Yes,Don't know,No,No,No,NA
137,39,Male,United States,IA,No,No,Yes,Often,2206,No,Yes,Yes,Not sure,No,No,NA
138,29,Female,United States,MD,No,No,No,,3396,No,Yes,Don't know,No,No,Don't know,NA
139,22,m,Austria,,No,No,No,,1634,Yes,Yes,Don't know,No,Don't know,No,NA
140,45,Male,United States,OR,No,Yes,Yes,Sometimes,4788,No,Yes,Don't know,No,Don't know,Don't know,NA
141,37,Male,United Kingdom,,Yes,No,Yes,Sometimes,1051,No,No,No,Yes,Yes,Yes,I'm not a permanent employee so do not get they benefits they get.My client is extremely supportive of permanent staff with mental health issues.
142,35,M,United States,TX,No,No,No,Never,3619,Yes,No,Don't know,Not sure,Don't know,Don't know,NA
143,-29,Male,United States,MN,No,No,No,,4808,Yes,No,Yes,No,Don't know,Yes,NA
144,30,Female,United States,PA,No,Yes,No,,4644,Yes,Yes,Don't know,Not sure,No,Don't know,I'd be more worried about coworkers and workplace culture than the employer--they're probably legally obligated to do some things but reputation among people I work with is something else. For instance I've heard people make snide remarks about men taking paternity leave I don't want to know what they'd say about mental health leave.
145,37,Male,United States,IN,No,Yes,Yes,Rarely,2216,No,No,Yes,Yes,Yes,Yes,NA
146,24,M,United Kingdom,,No,No,No,Never,1292,No,Yes,No,No,No,No,NA
147,23,Male,United States,WV,No,No,No,Sometimes,464,No,No,No,No,No,No,NA
148,30,male,Ireland,,No,No,Yes,Rarely,3247,No,Yes,No,Yes,Yes,Yes,NA
149,29,Female,United States,MI,No,No,No,,4714,Yes,Yes,Don't know,Not sure,No,Don't know,NA
150,19,Male,Canada,,Yes,Yes,No,,4911,Yes,Yes,Don't know,Not sure,No,Yes,NA
151,32,male,United States,CA,No,Yes,No,Never,1917,No,Yes,Don't know,Not sure,No,No,NA
152,28,male,Poland,,No,No,No,Rarely,2970,Yes,Yes,No,No,No,No,NA
153,36,Male,United States,IL,No,No,No,Never,2980,No,Yes,Don't know,Not sure,Don't know,Don't know,NA
154,37,Male,United Kingdom,,No,Yes,Yes,Rarely,4081,No,No,Yes,Yes,Yes,Yes,NA
155,25,Male,United States,IL,No,Yes,Yes,Sometimes,3252,No,No,Don't know,No,No,Don't know,NA
156,27,Male,United States,CA,No,Yes,Yes,Sometimes,61000,No,Yes,Don't know,No,No,Don't know,NA
157,26,male,United States,OK,No,No,No,Often,661,No,No,Don't know,Not sure,No,No,NA
158,27,male,United States,UT,No,No,Yes,Rarely,2139,Yes,Yes,No,Yes,No,No,Had a co-worker disappear from work for a few weeks and then come back to let everyone know he was bipolar. His responsibilities and schedule were adjusted to accommodate but he got worse didn't show up didn't work etc and was eventually let go.It was tough because on the one hand he was struggling with some mental health issues but on the other hand he went through a period of months where he wasn't performing.
159,25,Male,United States,IL,No,Yes,Yes,Sometimes,1437,No,Yes,Don't know,Not sure,No,No,Family history of depression.  Currently dealing with depression and anxiety as well as drug addition.Employer provides & pays premiums on insurance which covers therapy and prescriptions.  Employer allows work-from-home and unlimited PTO which makes episodes easier to control.I don't speak of my problems to anyone at work except for the people that I consider friends and even then I don't go into great detail.I would never bring up a mental health issue during an interview for fear of discrimination and rejection (and therefore greater depression).  One co-worker had serious anxiety problems and would not inform his team of episodes and was eventually let go for being unresponsive.
160,36,Male,United Kingdom,,No,No,Yes,Sometimes,2372,No,No,Yes,Yes,Yes,Yes,I feel that my employer and colleagues have created my mental health issue. Additionally I have contributed to this by staying in the same job with the same employer for 10+ years.
161,25,F,United States,NY,No,Yes,Yes,Sometimes,543,No,Yes,Yes,No,No,No,NA
162,31,M,United States,CA,No,No,No,Never,3280,No,Yes,Yes,No,No,Yes,NA
163,26,male,United States,MA,No,Yes,No,Rarely,210,No,Yes,Don't know,No,No,No,NA
164,33,F,United States,WA,Yes,Yes,Yes,Sometimes,2174,No,Yes,No,Yes,Yes,Yes,Many of these questions become irrelevant once 'Yes' is selected for 'Are you self-employed'.  It would be preferable for there to be a 'Not Relevant' option on these.
165,27,Woman,United Kingdom,,Yes,Yes,No,,2620,Yes,Yes,No,Yes,No,No,as a UK-based company we don't have any medical provisions as it's all provided on the National Health Service (for now!) However if we do need to take days off for any kind of health problems everyone is understanding :)
166,34,Male,United States,MN,No,No,No,Never,549,No,Yes,No,No,No,No,NA
167,42,male,United States,CA,No,No,No,,1832,No,Yes,No,Yes,No,No,NA
168,23,male,Ireland,,Yes,Yes,No,Sometimes,399,No,Yes,No,No,No,No,NA
169,24,Male,United Kingdom,,No,No,No,Rarely,1155,No,Yes,Don't know,Not sure,Yes,Don't know,NA
170,,Male,United Kingdom,,No,No,Yes,Sometimes,1024,No,Yes,Yes,Yes,Don't know,Don't know,My employer employs 17k people worldwide and my previous employer only 140 globally both have been very supportive and accommodating with my moderate depression and intense anxiety.
171,31,Male,United Kingdom,,Yes,No,Yes,Often,765,No,Yes,Don't know,No,No,No,NA
172,22,M,India,,No,No,Yes,Never,2775,No,Yes,Don't know,Not sure,No,No,NA
173,23,Female,United States,NC,No,No,No,,3867,No,Yes,Don't know,No,No,Don't know,NA
174,34,Female,Canada,,No,Yes,Yes,Sometimes,639,No,No,Yes,Yes,Yes,No,NA
175,31,male,United States,MO,No,No,No,Never,1381,No,Yes,Don't know,Not sure,No,Don't know,NA
176,28,Male,United Kingdom,,No,No,No,,1336,No,No,No,Not sure,No,Yes,NA
177,32,Female,United States,MA,No,No,Yes,Often,2999,Yes,Yes,Yes,Not sure,Don't know,Don't know,I am not sure about my company's healthcare because I've opted out of it and I'm covered under another policy.I currently work at a great company though in past jobs I don't think I would have felt comfortable talking about mental health at all.
178,45,F,United States,CA,No,No,Yes,Sometimes,3983,No,Yes,Yes,No,No,No,In small startups it is very hard to keep mental health issues truly private no matter what management does.
179,33,Male,United States,TX,No,No,No,,1669,Yes,Yes,Don't know,No,No,No,A close family member of mine struggles with mental health so I try not to stigmatize it. My employers/coworkers also seem compassionate toward any kind of health or family needs.
180,29,male,Mexico,,No,No,No,Never,4581,Yes,Yes,No,No,No,No,NA
181,26,f,India,,Yes,No,No,Sometimes,1196,No,No,No,No,No,No,NA
182,28,Female,United Kingdom,,No,No,No,Never,3891,No,Yes,Don't know,No,No,Don't know,NA
183,45,M,United States,CA,No,No,Yes,Sometimes,1814,No,Yes,Don't know,Not sure,Don't know,Don't know,NA
184,43,Male,United States,WA,No,Yes,Yes,Often,2372,Yes,Yes,Yes,Not sure,No,Don't know,NA
185,37,male,United States,MA,No,No,No,,296,Yes,Yes,Yes,No,No,No,NA
186,,Male,United Kingdom,,No,No,No,Sometimes,3591,No,Yes,Don't know,No,No,Don't know,NA
187,26,Male,France,,No,No,No,,2806,Yes,Yes,No,Yes,No,No,NA
188,23,male,United Kingdom,,No,Yes,No,,3710,Yes,Yes,Don't know,No,No,No,NA
189,35,Female,United States,CA,No,Yes,Yes,Never,1463,No,Yes,Yes,Not sure,Don't know,No,NA
190,38,Female,South Africa,,Yes,Yes,Yes,Often,3505,Yes,Yes,No,Yes,No,No,NA
191,28,Male,United States,MI,No,Yes,Yes,Sometimes,4784,No,Yes,Yes,No,No,No,NA
192,28,Male,Russia,,No,No,No,Sometimes,4409,No,Yes,No,No,No,No,NA
193,35,Male,United States,CA,No,No,Yes,Rarely,3811,No,Yes,No,No,No,No,NA
194,,female,Germany,,No,No,No,Sometimes,1513,No,Yes,No,No,No,No,Too many people even especially IT considered mental health issues as a choice or something people can freely act about. You are depressed: take vacation. You feel weird: admit it is physical (otherwise it is not serious) go and see a doctor (and if you are on sick leave too many days you will get fired). You don't feel good today: take a holiday but don't work from home. In startup there is what I call the tyranny of happiness: you have to look happy to be accepted and to be worked with. At some point playing a role can definitely make the mental health issue worse and it is also a threat to diversity :(I don't like to call mental health issues an issue but actually when it comes to company field it too often becomes an issue and this is sad because working is sometimes better than medication. It is a vicious circle: people are scared of speaking about it so they don't inform their coworkers about what mental health is for real and so coworkers are so scared on a regular basis that the people with mental health issues keep it for themselves. 
195,31,Mal,Italy,,Yes,Yes,No,Never,557,No,Yes,No,No,No,No,NA
196,35,Female,United States,NY,No,No,No,Never,810,Yes,Yes,Don't know,Not sure,No,No,NA
197,26,Male,United States,CA,No,No,No,Rarely,1993,No,Yes,Yes,No,No,No,NA
198,27,Male,United States,TN,No,Yes,No,,4999,Yes,Yes,Yes,Yes,No,No,NA
199,28,Male,United Kingdom,,No,Yes,Yes,Sometimes,674,No,Yes,Don't know,No,No,No,NA
200,27,Female,United States,OR,No,Yes,Yes,Sometimes,1243,No,Yes,Yes,No,No,No,My seniority at the company and rapport with the owners has helped me gain support for seeking help regarding my mental health as well as being able to take time off or work from home when an episode starts.However I don't feel that the company's stance on mental health is as clear as say something like vision or dental.  There's very much a stigma.
201,34,female,United States,MN,No,No,Yes,Sometimes,2837,No,No,Yes,Yes,Yes,Yes,NA
202,41,male,United States,FL,No,No,Yes,Often,838,Yes,Yes,No,Not sure,No,No,NA
203,37,Male,Ireland,,No,No,No,Sometimes,3067,No,Yes,No,Yes,No,No,When you are an introvert people don't notice if you are depressed. Its a vicious cycle of sorts.
204,34,male,Austria,,No,Yes,No,,862,Yes,Yes,Don't know,No,Don't know,Don't know,NA
205,32,Male,United Kingdom,,No,Yes,Yes,Sometimes,4521,Yes,Yes,Don't know,Not sure,No,No,I've answered 'Yes' on remote working but 50% is the maximum time we're allowed.The branch of the company I work for doesn't offer any medical benefits. It's not as common in the UK as we have the NHS for the moment. There are international branches that may so I've answered 'Don't know'.
206,21,Male,Canada,,No,No,Yes,Sometimes,1759,Yes,Yes,No,Yes,No,No,NA
207,30,M,United States,MA,No,No,Yes,Often,470,No,Yes,No,Yes,No,No,NA
208,24,male,United States,KS,No,No,No,Never,464,No,Yes,Don't know,Not sure,No,Don't know,NA
209,26,male,Bulgaria,,No,No,No,,2402,No,Yes,No,No,No,No,NA
210,40,Female,United States,DC,No,No,No,,4356,No,Yes,Yes,Yes,Yes,Yes,NA
211,37,Male,United Kingdom,,No,Yes,No,Sometimes,4831,No,No,No,No,No,No,NA
212,26,Male,United Kingdom,,Yes,No,Yes,Often,938,Yes,Yes,No,No,No,No,NA
213,32,F,United States,TX,No,Yes,Yes,Sometimes,3803,No,Yes,Don't know,No,No,No,NA
214,32,f,United States,MA,No,No,Yes,Sometimes,1085,No,No,Yes,Yes,Don't know,Don't know,NA
215,27,female,United States,MI,Yes,Yes,Yes,Sometimes,4146,Yes,Yes,No,No,Don't know,Don't know,Many of these questions were difficult to answer as a self-employed person; I did my best with the available options.
216,,Male,Germany,,Yes,No,Yes,Often,3933,Yes,Yes,Yes,Yes,No,No,I tried to answer as good as possible but I am CEO of a company so many questions don't fit very well.Also many of the questions are very US-centric in most systems healthcare is not your employers business.
217,31,M,Canada,,Yes,No,No,,2255,No,Yes,Yes,Yes,No,Don't know,NA
218,29,F,United States,NY,No,No,Yes,Never,2129,No,No,Yes,No,No,Don't know,NA
219,41,Male (CIS),United States,VA,No,No,No,,4677,No,Yes,Yes,Not sure,No,No,NA
220,34,female,United States,WA,No,No,No,,2833,No,Yes,Yes,No,No,No,One of my coworkers has mental health issues and she's open about them (eg: my enjoyment of this project may be due to my recent change in meds). I believe the response has been generally supportive. We're a very small tight-knit company.
221,33,Male,United Kingdom,,No,No,No,,407,No,Yes,Don't know,No,No,No,NA
222,28,male,United States,PA,No,No,No,Rarely,1163,No,Yes,Don't know,No,No,No,NA
223,28,Male,United States,MI,No,No,Yes,Sometimes,2326,No,Yes,No,Yes,No,No,NA
224,23,Male,United States,PA,No,No,No,Never,1362,No,Yes,Don't know,Not sure,Don't know,Don't know,A strong mind goes a long way. Stay strong. Take some time off to help. Its all in your head. 
225,24,M,United States,OR,No,No,No,,1902,No,Yes,Don't know,No,Don't know,No,Would you bring up a mental health issue with a potential employer in an interview?Poignant.
226,32,male,United States,WA,No,No,No,Rarely,4569,Yes,Yes,No,Yes,No,No,NA
227,34,Male,Australia,,Yes,No,No,Sometimes,888,Yes,Yes,Don't know,Not sure,Yes,Yes,NA
228,24,Male,United States,PA,No,No,No,Never,519,No,Yes,Yes,Not sure,No,Don't know,NA
229,26,male,United Kingdom,,Yes,No,Yes,Sometimes,1554,No,Yes,No,Yes,No,No,NA
230,36,Male,United States,OH,No,No,Yes,Sometimes,4093,No,Yes,Yes,No,No,Yes,NA
